intensity,cdf_before,cdf_after
0,0,0.00390625
1,0,0.0078125
2,0,0.0117188
3,0,0.015625
4,6.67572e-06,0.0195312
5,2.00272e-05,0.0234375
6,0.000105858,0.0273438
7,0.000452042,0.03125
8,0.00119591,0.0351562
9,0.00300789,0.0390625
10,0.00650311,0.0429688
11,0.0124388,0.046875
12,0.0226297,0.0507812
13,0.0368624,0.0546875
14,0.0571842,0.0585938
15,0.0873404,0.0625
16,0.116602,0.0664062
17,0.155595,0.0703125
18,0.197915,0.0742188
19,0.245855,0.078125
20,0.29573,0.0820312
21,0.345963,0.0859375
22,0.397382,0.0898438
23,0.44338,0.09375
24,0.49398,0.0976562
25,0.537777,0.101562
26,0.577911,0.105469
27,0.613037,0.109375
28,0.648091,0.113281
29,0.677123,0.117188
30,0.704182,0.121094
31,0.730028,0.125
32,0.750467,0.128906
33,0.769193,0.132812
34,0.785136,0.136719
35,0.799925,0.140625
36,0.81253,0.144531
37,0.823589,0.148438
38,0.83315,0.152344
39,0.841682,0.15625
40,0.848349,0.160156
41,0.854358,0.164062
42,0.859585,0.167969
43,0.86393,0.171875
44,0.867976,0.175781
45,0.87134,0.179688
46,0.874551,0.183594
47,0.877145,0.1875
48,0.880137,0.191406
49,0.882569,0.195312
50,0.884884,0.199219
51,0.887088,0.203125
52,0.889265,0.207031
53,0.891238,0.210938
54,0.893272,0.214844
55,0.894983,0.21875
56,0.896947,0.222656
57,0.898688,0.226562
58,0.900392,0.230469
59,0.902045,0.234375
60,0.903833,0.238281
61,0.905395,0.242188
62,0.907045,0.246094
63,0.908726,0.25
64,0.910088,0.253906
65,0.911745,0.257812
66,0.913345,0.261719
67,0.914897,0.265625
68,0.9164,0.269531
69,0.917974,0.273438
70,0.919481,0.277344
71,0.921002,0.28125
72,0.922447,0.285156
73,0.923952,0.289062
74,0.925344,0.292969
75,0.92667,0.296875
76,0.928085,0.300781
77,0.929466,0.304688
78,0.930881,0.308594
79,0.932354,0.3125
80,0.933661,0.316406
81,0.935035,0.320312
82,0.936419,0.324219
83,0.937704,0.328125
84,0.93902,0.332031
85,0.940368,0.335938
86,0.941611,0.339844
87,0.942822,0.34375
88,0.944142,0.347656
89,0.945425,0.351562
90,0.946591,0.355469
91,0.947751,0.359375
92,0.948997,0.363281
93,0.950186,0.367188
94,0.95137,0.371094
95,0.952538,0.375
96,0.953761,0.378906
97,0.954885,0.382812
98,0.955935,0.386719
99,0.956973,0.390625
100,0.958015,0.394531
101,0.959024,0.398438
102,0.960057,0.402344
103,0.961032,0.40625
104,0.961934,0.410156
105,0.962849,0.414062
106,0.963791,0.417969
107,0.964646,0.421875
108,0.965581,0.425781
109,0.966379,0.429688
110,0.967205,0.433594
111,0.967884,0.4375
112,0.968806,0.441406
113,0.969596,0.445312
114,0.970357,0.449219
115,0.971124,0.453125
116,0.97191,0.457031
117,0.972659,0.460938
118,0.973378,0.464844
119,0.974063,0.46875
120,0.974895,0.472656
121,0.975603,0.476562
122,0.976299,0.480469
123,0.976969,0.484375
124,0.977655,0.488281
125,0.978333,0.492188
126,0.979022,0.496094
127,0.97973,0.5
128,0.980403,0.503906
129,0.981043,0.507812
130,0.981677,0.511719
131,0.982274,0.515625
132,0.982894,0.519531
133,0.98349,0.523438
134,0.984072,0.527344
135,0.98465,0.53125
136,0.985207,0.535156
137,0.985786,0.539062
138,0.986308,0.542969
139,0.986839,0.546875
140,0.987382,0.550781
141,0.987854,0.554688
142,0.988379,0.558594
143,0.988895,0.5625
144,0.989355,0.566406
145,0.989916,0.570312
146,0.990411,0.574219
147,0.990925,0.578125
148,0.991428,0.582031
149,0.99192,0.585938
150,0.992369,0.589844
151,0.992755,0.59375
152,0.993178,0.597656
153,0.99361,0.601562
154,0.993999,0.605469
155,0.994371,0.609375
156,0.994743,0.613281
157,0.995107,0.617188
158,0.995465,0.621094
159,0.995823,0.625
160,0.996189,0.628906
161,0.99651,0.632812
162,0.996817,0.636719
163,0.997077,0.640625
164,0.997382,0.644531
165,0.997633,0.648438
166,0.997878,0.652344
167,0.998125,0.65625
168,0.998344,0.660156
169,0.99855,0.664062
170,0.998734,0.667969
171,0.998924,0.671875
172,0.999085,0.675781
173,0.999236,0.679688
174,0.99937,0.683594
175,0.999481,0.6875
176,0.999586,0.691406
177,0.999672,0.695312
178,0.999744,0.699219
179,0.999798,0.703125
180,0.999851,0.707031
181,0.999888,0.710938
182,0.999929,0.714844
183,0.999945,0.71875
184,0.999958,0.722656
185,0.999974,0.726562
186,0.999985,0.730469
187,0.99999,0.734375
188,0.999993,0.738281
189,0.999994,0.742188
190,0.999998,0.746094
191,0.999999,0.75
192,1,0.753906
193,1,0.757812
194,1,0.761719
195,1,0.765625
196,1,0.769531
197,1,0.773438
198,1,0.777344
199,1,0.78125
200,1,0.785156
201,1,0.789062
202,1,0.792969
203,1,0.796875
204,1,0.800781
205,1,0.804688
206,1,0.808594
207,1,0.8125
208,1,0.816406
209,1,0.820312
210,1,0.824219
211,1,0.828125
212,1,0.832031
213,1,0.835938
214,1,0.839844
215,1,0.84375
216,1,0.847656
217,1,0.851562
218,1,0.855469
219,1,0.859375
220,1,0.863281
221,1,0.867188
222,1,0.871094
223,1,0.875
224,1,0.878906
225,1,0.882812
226,1,0.886719
227,1,0.890625
228,1,0.894531
229,1,0.898438
230,1,0.902344
231,1,0.90625
232,1,0.910156
233,1,0.914062
234,1,0.917969
235,1,0.921875
236,1,0.925781
237,1,0.929688
238,1,0.933594
239,1,0.9375
240,1,0.941406
241,1,0.945312
242,1,0.949219
243,1,0.953125
244,1,0.957031
245,1,0.960938
246,1,0.964844
247,1,0.96875
248,1,0.972656
249,1,0.976562
250,1,0.980469
251,1,0.984375
252,1,0.988281
253,1,0.992188
254,1,0.996094
255,1,1
