value,R,G,B
0,768,768,841
1,0,0,25
2,0,0,29
3,0,0,96
4,0,0,49
5,0,0,63
6,0,0,166
7,0,0,101
8,0,0,137
9,0,0,332
10,0,0,195
11,0,0,231
12,0,0,539
13,0,0,339
14,0,1,329
15,0,0,839
16,0,0,543
17,0,2,627
18,0,2,1565
19,0,1,1354
20,0,5,1685
21,0,0,2839
22,0,2,2383
23,0,8,2957
24,0,6,3855
25,0,9,3246
26,0,12,3530
27,1,17,4882
28,0,18,3317
29,0,26,2777
30,4,35,6581
31,1,45,3010
32,3,0,3139
33,3,65,6249
34,0,100,2447
35,10,191,2972
36,6,331,5885
37,21,302,2181
38,46,535,2541
39,0,1059,5298
40,29,1443,2083
41,157,1079,2237
42,313,1714,3998
43,652,0,2572
44,0,1973,2306
45,466,1966,4043
46,1117,2384,2387
47,2336,3007,2214
48,2756,2674,4238
49,0,2416,1966
50,2654,2858,2213
51,2271,3573,4869
52,3287,3716,2263
53,4634,3023,2401
54,0,0,5407
55,4239,2923,2554
56,3158,3417,2604
57,2790,3434,5433
58,4813,3902,2929
59,0,2738,3077
60,4542,3083,5661
61,3518,2934,2980
62,2392,2607,3888
63,3534,2769,5489
64,0,2869,2890
65,4180,0,3082
66,3270,2993,5283
67,2183,2693,2637
68,2584,2470,2352
69,0,2366,4645
70,2549,2693,2249
71,3232,2341,2164
72,1976,2409,3972
73,2018,2337,2013
74,0,2377,5228
75,2235,2268,4704
76,1860,0,2386
77,2811,2248,3229
78,1922,2307,5442
79,0,2173,2650
80,1956,2221,3273
81,1641,2194,5868
82,2328,2326,3348
83,2246,2054,3589
84,0,2389,8032
85,1975,2292,4344
86,1713,2388,5239
87,1878,0,9516
88,2507,2569,5037
89,0,2412,4649
90,2180,2474,8554
91,1730,2684,5394
92,1993,2450,4559
93,1986,2864,9635
94,0,2744,3817
95,2828,2787,6022
96,1968,2706,9977
97,2131,2837,3813
98,2247,0,4395
99,0,2810,7316
100,2209,2930,2937
101,3399,2553,3431
102,2495,3128,6033
103,2612,2853,2820
104,0,2653,2881
105,2636,2738,5825
106,3073,2750,2913
107,3821,2554,2501
108,3256,7199,4041
109,0,0,1614
110,3589,3843,1207
111,3503,2692,1809
112,5037,3141,771
113,5273,4190,815
114,0,4563,1312
115,4964,3527,612
116,4307,4457,618
117,4695,3566,1374
118,6693,4530,578
119,0,4192,588
120,5537,0,1138
121,5090,5112,569
122,4283,3600,539
123,9002,4349,1117
124,0,4155,627
125,5127,4850,587
126,4624,3933,1194
127,4174,4151,588
128,4662,4143,635
129,0,4545,1140
130,5167,4735,537
131,4407,0,532
132,3494,3738,1218
133,3795,3083,618
134,0,3780,517
135,3462,3892,903
136,4380,4153,418
137,4797,3070,366
138,4136,3257,585
139,0,2908,270
140,3365,3565,295
141,3790,3106,544
142,4770,0,216
143,4174,3390,218
144,0,3590,422
145,2817,3208,152
146,3307,3214,152
147,3576,2920,242
148,3351,2796,95
149,0,2867,118
150,3559,2595,151
151,3081,2562,76
152,2957,3002,72
153,2745,0,109
154,0,2677,42
155,3409,2320,37
156,3142,2609,42
157,2405,2874,36
158,2284,2214,20
159,0,3032,32
160,2762,2744,9
161,2835,2362,10
162,2380,2074,18
163,1929,2396,10
164,0,0,7
165,2149,1963,8
166,2330,1806,4
167,2946,1550,2
168,1676,1307,4
169,0,1235,0
170,2345,1130,1
171,2191,982,1
172,2287,919,1
173,2515,872,0
174,0,905,0
175,2273,0,1
176,1847,856,0
177,1628,715,1
178,2191,760,0
179,0,659,0
180,2148,625,0
181,1245,606,0
182,1268,531,0
183,1233,490,0
184,0,492,0
185,1665,476,0
186,954,0,1
187,1099,378,0
188,835,451,0
189,0,444,0
190,809,433,0
191,1158,449,0
192,841,429,0
193,573,449,0
194,0,432,0
195,632,397,0
196,652,332,0
197,836,0,0
198,518,407,0
199,0,365,0
200,566,408,0
201,542,361,0
202,505,391,0
203,716,372,0
204,0,363,0
205,487,426,0
206,491,408,0
207,604,441,0
208,462,0,0
209,0,514,0
210,655,431,0
211,429,444,0
212,449,433,0
213,360,409,0
214,0,405,0
215,516,392,0
216,512,414,0
217,346,432,0
218,324,392,0
219,0,0,0
220,434,419,0
221,486,388,0
222,310,400,0
223,377,398,0
224,0,395,0
225,394,309,0
226,286,371,0
227,517,403,0
228,345,399,0
229,0,364,0
230,402,0,0
231,278,382,0
232,391,374,0
233,474,336,0
234,0,397,0
235,458,444,0
236,232,379,0
237,393,398,0
238,514,411,0
239,0,426,0
240,467,393,0
241,257,0,0
242,428,416,0
243,358,403,0
244,0,405,0
245,536,391,0
246,327,372,0
247,383,315,0
248,385,373,0
249,0,348,0
250,372,286,0
251,426,272,0
252,463,0,0
253,401,274,0
254,0,290,0
255,16329,5456,0
